USA,US FAS,US Treaty Ally,Taiwan,BRI,Policing Agreements
USA,PLW,JPN,TWN,CUB,PNG
,FSM,KOR,,CYP,FJI
,MHL,PHL,,DOM,ARG
,,THA,,CZE,KAZ
,,AUS,,DJI,LBR
,,,,DMA,MMR
,,,,ECU,PRK
,,,,EGY,PAN
,,,,SLV,PNG
,,,,GNQ,TUN
,,,,ERI,UZB
,,,,EST,MOR
,,,,ETH,DZA
,,,,FJI,EGY
,,,,GAB,SDN
,,,,GMB,ERI
,,,,GEO,DJI
,,,,GHA,ETH
,,,,GRC,SEN
,,,,GRD,GIN
,,,,GIN,SLE
,,,,GNB,GHA
,,,,GUY,NGA
,,,,HND,STP
,,,,HUN,GNQ
,,,,IDN,GAB
,,,,IRN,COD
,,,,IRQ,DRC
,,,,ITA,UGA
,,,,JAM,KEN
,,,,JOR,TZA
,,,,KAZ,SYC
,,,,KEN,COM
,,,,KIR,AGO
,,,,KOR,ZMB
,,,,KWT,NAM
,,,,KGZ,ZWE
,,,,LAO,MOZ
,,,,LVA,ZAF
,,,,LBN,LSO
,,,,LSO,MDG
,,,,LBR,MUS
,,,,LBY,BLR
,,,,LTU,BOL
,,,,LUX,KHM
,,,,MDG,CHN
,,,,MWI,CUB
,,,,MYS,IND
,,,,MDV,IRN
,,,,MLI,LAO
,,,,MLT,MLI
,,,,MRT,MNG
,,,,FSM,NIC
,,,,MDA,PAK
,,,,MNG,RUS
,,,,MNE,SRB
,,,,MAR,SSD
,,,,MOZ,SYR
,,,,MMR,TUR
,,,,NAM,UKR
,,,,NPL,VEN
,,,,NZL,
,,,,NIC,
,,,,NER,
,,,,NGA,
,,,,NIU,
,,,,MKD,
,,,,OMN,
,,,,PAK,
,,,,PAN,
,,,,PNG,
,,,,PER,
,,,,PHL,
,,,,POL,
,,,,PRT,
,,,,QAT,
,,,,ROU,
,,,,RUS,
,,,,RWA,
,,,,WSM,
,,,,SAU,
,,,,SEN,
,,,,SRB,
,,,,SYC,
,,,,SLE,
,,,,SGP,
,,,,SVK,
,,,,SVN,
,,,,SLB,
,,,,SOM,
,,,,ZAF,
,,,,SSD,
,,,,LKA,
,,,,SDN,
,,,,SUR,
,,,,SYR,
,,,,TJK,
,,,,TZA,
,,,,THA,
,,,,TLS,
,,,,TGO,
,,,,TON,
,,,,TTO,
,,,,TUN,
,,,,TUR,
,,,,TKM,
,,,,UGA,
,,,,UKR,
,,,,ARE,
,,,,URY,
,,,,UZB,
,,,,VUT,
,,,,VEN,
,,,,VNM,
,,,,YEM,
,,,,ZMB,
,,,,ZWE,